"","HD10","HD1","HD2","HD3","HD4","HD5","HD6","HD7","HD8","HD9","Pz111","Pz12","PZ148","Pz15","Pz16","PZ178","Pz25","PZ285","Pz28","PZ387","PZ390","PZ409","PZ49","PZ55","PZ69","Pz7","PZ90","PZ93","PZ94","PZ95"
"A0A182DWH7;P49908;A0A182DWH8",2.37466,1.940005,1.49048,3.05015,2.32608,0.9164075,1.42207,2.33556,2.04069,1.59873,2.12629,2.08212,2.186505,0.95204,1.6602,1.940175,2.320255,0.3235287,3.29473,-0.463215,0.0977345,1.025313,2.165085,2.547925,2.95774,3.30108,2.450185,1.949225,1.175195,1.94682
"A0A1B1CYC5",8.39413,8.26094,7.59453,-4.214,7.41745,6.536745,6.94703,8.24404,7.737735,7.27614,8.301555,6.173275,5.767815,6.427825,6.330015,-4.465715,7.112395,5.58185,-4.445295,-4.942255,4.94585,-5.29142,-4.790085,7.452135,7.04451,7.684385,8.37416,7.52294,7.10377,7.873425
"A0N5G1;P01602",0.08337605,0.922610525,-0.8541645,-0.3991689,-0.1876373,-0.23209,-1.344114,1.289435,1.78246,0.38166585,1.19536,-0.4232655,0.7603135,0.2018365,1.207535,-0.1820105,1.328695,-2.010155,3.30347,-3.502025,-6.50171,-2.27936,-0.8916875,0.6965025,1.582425,0.5271485,-1.26207,-1.0420705,0.299276,1.485885
"A2NB45;B7ZMG8;A0A087X0Q4;A0A087WW87;A2IPI1;A0A075B6P5;P01615;P01614",1.69012,1.3716625,0.8378785,1.26415,2.264455,-0.6531835,-3.38665,1.691875,1.0464,1.332895,1.65909,-2.103835,1.025771,-2.146175,1.45017,0.3117225,1.044952,-5.684815,2.00248,-5.76735,-5.69356,-6.57232,0.700506,1.3956,2.861675,1.352795,0.416799,-0.342698,0.7215885,1.422735
"Q5T985;A2RTY6;P19823;D3DRR6;B4DM79",5.782575,5.766955,5.748895,6.608725,6.593145,5.393555,5.023675,6.166875,5.483035,5.82818,5.571,5.253715,5.73437,4.8837,5.843315,5.498375,5.64984,4.44233,6.20608,4.272565,4.61601,3.52768,5.180425,6.84317,6.106,6.83421,5.60461,3.96275,5.667055,5.60919
"A2VCK8;P62328;Q0P5T0;Q0P5U7;Q0P5Q0;Q0P5P4;Q0P5N8",5.725445,5.0453175,4.467675,6.390675,4.8373,-0.3366185,4.133555,5.569025,3.55448,4.392465,3.04896,-0.112539,2.61136,0.5488155,2.322715,1.690435,1.329655,-3.551905,2.32195,-6.50967,-0.446632,-1.9114,4.133475,4.90831,-2.54773,5.303315,1.92699,1.409195,1.40482,0.415911
"B4DG86;A2VDG3;B4E2Y8;E9PEK4;Q59HE0;P07333",-1.34732,-1.680495,-2.054585,-2.45298,-1.572275,-3.06499,-4.30804,-1.890765,-1.712665,-3.53392,-2.76153,-4.346165,-4.128065,-5.42608,-2.30589,-2.529315,-0.654078,-4.343725,-0.51378,-3.924165,-4.771975,-3.09743,-4.52405,-1.482235,-0.123597,-3.040775,-2.20909,-3.67686,-4.40419,-1.396635
"A3KPE2;B0YIW2;P02656",8.059125,7.5064175,6.94039,7.76533,7.594045,7.443265,6.51606,7.63505,7.64145,7.48156,7.07575,8.769855,8.523005,7.20202,7.208975,8.572005,7.869065,5.722115,8.375075,4.63821,6.36238,5.46872,8.13615,8.730345,9.702775,9.38112,7.925805,6.79377,6.56178,8.478865
"A3RKG7;F5H8B0;B4DPM2;P08709",-3.496575,-3.3901025,-3.746395,-1.40287,-0.3719084,-0.658619,-4.096685,-2.25082,-1.944635,-3.0399,-2.784505,-2.310265,-1.2347495,-2.234795,-1.84932,-0.9623485,-3.129435,-3.73387,-2.23739,-1.64409,-1.70753,-4.2229,-2.25001,-0.547132,-3.061585,-1.51564,-2.02901,-2.578225,-0.779169,-2.06108
"A4D2D2;Q15113",-3.528365,-4.380625,-4.48618,-2.56276,-2.71692,-4.72401,-5.199445,-3.518425,-3.98863,-4.166055,-5.29471,-3.892495,-1.79094,-4.3918,-3.392265,-3.189895,-1.272345,-7.50674,-2.59848,-6.979895,-5.322135,-5.30745,-3.412905,-1.893195,-3.85303,-4.06093,-5.071055,-5.047685,-4.51349,-2.42656
"E9KL36;A6XGL1;P02766;A0A087WT59;A6XMH1;A0A087WV45",7.09583,7.1253625,7.392535,8.22228,7.806495,7.934515,8.7137,8.0224,7.65069,7.698455,7.394495,6.637735,7.175565,5.9126,7.11888,6.789835,7.291245,5.238975,7.83978,6.591535,7.867065,7.35874,7.855565,6.98975,8.1014,8.679385,6.958555,6.930055,6.646045,7.49885
"A6XND1;A6XND0;P17936;B4DP07;B3KVF9;B3KTQ0;B4DN53;Q6ZSD0;H0Y5K2;B3KVY6;B3KTS0;B3KWK7;A6XNC9;B3KRZ1",0.05294631,0.345756905,-0.11907335,1.589305,1.382205,-1.223025,-1.285145,0.454429,0.261261,0.179541,-0.675799,-4.902415,-2.920428,-5.75413,-0.08362835,-0.804539,-3.8235,-4.51353,0.031131,-3.67957,-2.345705,-3.638315,-2.225205,1.370905,-1.190507,1.1506475,-1.23295,-0.337336,-0.8698305,-3.680405
"Q6FHW3;K7ERG9;A6XNE2;P00746",-0.4523795,-0.256829,-1.61035,0.7163515,1.64968,-0.992945,-5.106215,-0.53364755,-0.0733785,-1.3659945,-0.911796,-6.10027,0.819425,-1.2094,1.79774,0.397021,3.390865,-0.34456325,1.270433,0.051532,-1.93518,-6.93529,-2.87855,1.90284,2.014715,-3.05637,-0.6025495,-0.7266935,0.5015195,1.54461
"A8K1K1;J3KRP0;Q96KN2;B4E180",1.506735,1.6673975,1.38882,1.81676,1.88606,0.33486922,-0.3356245,1.54341,0.4250675,0.4753285,1.32913,1.702255,0.8531915,-0.285219,1.1392765,1.60815,0.487377,0.0921208835,2.1514,-1.985195,-0.779381,-1.628332,1.019544,2.959145,0.013800605,2.15562,-0.775391,-0.2829815,0.976612,-0.0692065
"H0YD13;H0YDW7;H0YCV9;H0Y5E4;B4DN59;A8K309;P16070;E9PKC6;H0YDX6;H0YD17;H0Y2P0",-0.416236,-1.167648,-2.62104,-0.788212,-0.2900515,-3.219995,-4.461105,-1.582115,-1.78086,-1.210435,-1.887165,-2.877905,-0.8614545,-3.488165,-0.4175495,-1.36015,0.44361,-3.43367,0.7155305,-4.301345,-5.74777,-4.763355,-3.726405,-0.0837232,1.055697,-1.049125,-1.71677,-2.686745,-1.688065,0.2787145
"G3XAP6;B4DN90;Q53FR6;A8K3I0;P49747;B4DN75",-0.9577175,-1.24342875,-3.540745,-1.927055,-0.7823495,-3.982915,-6.18793,-5.31768,-3.675075,-2.49878,-4.018115,-7.151145,-3.95414,-3.54653,-1.11259,-4.031995,-1.21802,-6.055435,-0.959243,-4.70971,-5.498155,-4.64015,-4.312445,-4.33205,-1.57976,-3.67214,-2.08152,-4.14779,-6.071845,-2.252625
"A8K3K1;P68133;P68032;B7Z6P1;D2JYH4;P63267;P62736;Q13707;B3KW67;Q7Z7J6;A6NL76;B3KUD3;B4DUI8;C9JFL5;F6UVQ4;F6QUT6;B7Z6I1",4.72637,4.03429,3.94515,4.503325,2.37462,0.08192345,3.092305,5.241695,2.468225,1.9493,2.00955,2.076415,4.263885,3.02107,3.122085,4.5516,2.520475,0.4892215,3.454775,-0.6567475,1.29394,-1.31742,4.10464,5.062485,2.631125,5.534355,3.146025,0.8104455,1.91449,2.710935
"V9HWF5;A8K486;P62937;B2RE56;F8WE65;C9J5S7;B4DM82;Q71V99",-2.76897,-2.945415,-2.81778,-2.146365,-3.034905,-3.14662,-1.5801765,-0.9083055,-1.581025,-4.68227,-2.893065,-6.295485,-0.578384,-3.34012,-2.28499,-0.2923475,-2.4095,-5.46647,-1.0399675,-7.751185,-5.26925,-6.80692,0.5165505,0.000923155,-3.265025,-0.3414875,-1.27362,-5.747095,-3.44354,-2.29894
"B2R773;A8K660;Q15848",2.951105,3.049345,3.19758,2.64347,3.17544,3.226205,1.740145,3.16562,3.189635,2.687575,2.68661,0.2078475,3.126385,1.55515,2.357295,2.42098,3.276335,0.35254,3.25974,0.4638745,-1.517885,0.6182125,2.591835,4.431925,5.694065,2.9162,3.09344,1.886355,2.666735,2.92789
"B4DWN1;A8K7T4;Q12907;D6RIU4;D6RDX1;D6RBV2",-3.58346,-3.242825,-3.23848,-2.585585,-2.702935,-4.37914,-4.603945,-2.264755,-3.045125,-3.142985,-3.422955,-3.31899,-2.279535,-2.20566,-2.574585,-2.406535,-1.997445,-4.069035,-2.222285,-3.84764,-5.2425,-3.33006,-4.797735,-1.522935,-2.31658,-2.984705,-2.03049,-3.186685,-2.448535,-1.992455
"B0YJC6;P22891",-1.855235,-1.36089925,-4.696445,-1.527415,0.082284055,-2.74684,-7.28399,-2.815995,-2.182665,-2.42038,-3.943525,-1.62635,-0.7230785,-2.857935,-2.7041,-0.755256,-4.306,-4.514345,-0.2368595,-6.50045,-4.777075,-2.82688,-0.4567645,-2.76815,-0.8314465,1.649835,-0.1897815,-5.88076,-1.43219,-1.87467
"B2R4C5;P61626;F8VV32;A0A0B4J259",0.3714545,0.45309875,-0.0433515,0.4144575,1.21354,-2.444715,-4.32979,-0.394446015,0.107976,0.7288135,0.407095,-0.893242,0.371667595,-1.450936,1.564335,1.143779,3.12825,-0.4460995,2.916705,1.215255,-0.220831865,-1.362175,0.6731305,2.448625,1.105606,2.170165,1.691925,-0.213267,0.6300485,2.84414
"B2R4M6;P06702",-5.05811,-5.3482275,-4.55565,-3.78427,-4.00077,-6.344825,-2.671305,-4.00297,-5.27186,-4.61611,-3.584675,-3.73358,-3.644705,-3.038739,-0.7601685,0.519729,0.5827185,-3.87631,-1.099285,-3.96743,-3.762655,-4.93925,-0.322928,-0.453381,-4.287405,0.408539,0.9344415,-2.59544,-2.935795,-2.35171
"Q0VAS5;B2R4R0;P62805;Q6B823",-4.28252,-3.9869225,-4.276335,-4.563415,-3.604515,-5.39149,-4.290965,-5.028785,-5.24238,-3.925285,-6.97078,-3.2714,0.568382,-2.45012,-2.078195,0.7609735,1.0921795,-4.102665,1.22676,-5.2554,-5.17175,-4.99507,-4.046705,1.19069,-0.35612,1.198945,2.848475,-0.972974,0.07824965,1.41121
"B2R5G8",3.235235,1.8328615,1.619405,2.235525,2.0547,0.29081515,1.87464,2.606285,1.7902,2.2554,2.64255,2.89486,3.7202,3.440145,2.41644,3.781715,1.6080885,1.70111,2.80608,2.754095,1.939562,1.225481,0.601061,4.62473,2.644355,2.846015,3.693365,0.770293,3.35004,2.204725
"B2R888;P08571;F1C4A7;D6RFL4",0.374978,0.4125115,0.9958095,1.94997,1.8826,0.3426618,0.5720895,0.9298675,0.8445015,0.8581185,1.785665,1.73862,1.80946,2.325395,3.468645,2.139505,4.541825,2.367745,3.604765,2.02232,0.8436635,0.437021,0.4143285,3.63116,3.150855,2.36197,2.58227,0.5270715,2.60645,2.81239
"B2R950;P20742",-3.510615,-2.2657815,-0.3411825,-4.01615,2.71379,3.985665,-2.91608,2.129925,1.26614,-4.844405,-4.03241,1.2746,-0.619865,-4.246755,-5.972075,-4.922845,-1.10153,-6.81691,-3.89932,0.581138,-0.91405,-2.23202,1.250805,4.088855,1.976755,-4.95792,-3.179495,-2.119005,-2.21358,-1.212965
"B2RA39;Q9BXR6;Q05CF5",-1.22681,-0.5357375,0.7885135,0.2371377,-0.360323,0.008353,-1.61841,-2.80081,-0.7769085,0.01272725,-0.6094655,1.978255,0.7043265,2.470285,1.69426,0.478806,1.714465,-0.1094478835,1.97182,-1.7654505,-2.261865,-3.85649,0.508003,2.45091,1.332595,2.333345,1.0968805,-0.964356,1.41778,1.93625
"B2RMS9;Q14624;B7Z544;H7C0L5;Q68DH2;B7Z551;Q59FS1",5.829425,5.7625075,5.5268,6.438585,6.72515,5.31869,5.22982,6.12186,5.408655,5.472925,5.991565,5.27162,6.651255,6.17609,7.178095,5.872945,7.98399,5.64711,7.28637,5.54961,5.15929,4.0366,6.580565,7.56037,6.300345,7.234565,6.337865,5.35822,6.64223,6.73072
"B2ZDQ1;X6R8F3;P80188",-3.808315,-2.9829125,-1.92793,-5.01974,-3.33161,-6.342435,-5.389215,-4.549585,-4.783465,-4.752745,-3.29247,-1.8818,-0.069132095,-0.9071635,-1.002607,-3.022735,1.218285,-6.541585,-3.2146,-2.265795,-3.591965,-7.06917,0.0311086,0.1548298,-1.4238,1.45161,0.933836,-2.974395,-0.488574,0.2520605
"B3KNX0;P09871;F8WCZ6;A8K2N0;A0A087X232",4.278325,4.155135,3.832245,4.835375,4.58498,3.11524,3.293895,4.185085,3.891745,4.020875,4.306295,3.39901,4.36064,4.15142,5.016615,4.03341,5.09489,3.60979,5.67492,2.954335,2.49098,2.09776,4.043985,5.79037,4.767185,5.24506,4.31329,3.54048,4.491655,4.733065
"B3KUE5;P55058;Q53H91",-0.12930495,-0.449676975,0.515819,-0.766304,-0.39401165,-2.971655,-3.387835,-2.00747,-1.512815,-3.308555,-1.147975,-3.063015,-1.7920895,-1.64063,-0.6664615,-4.58386,1.071154,-2.966735,-0.154933,-1.3082445,-1.88237,-2.6423,-0.5966095,0.1607715,0.236456,-1.755215,-1.838925,-3.09097,-0.761311,0.76535625
"B4DPQ0;Q53HU9;Q53HT9;A8K5J8;F5H2D0;P00736;B4E1B0",3.699565,3.703665,3.4257,4.43441,4.43493,2.961955,2.84745,3.676095,3.221785,3.5602,4.092685,2.911605,4.030105,4.025335,4.78075,3.418835,5.25731,3.38119,4.798115,3.3179,2.78493,1.710805,3.68061,5.471135,4.478865,5.1944,4.045505,2.805385,4.35886,4.304015
"B4E1C4;E7END6;B4DPQ3;P04070;B4DPC8",-0.02131465,0.227238925,-0.221015695,1.16313,1.17663,0.188138,1.0018285,-0.5353695,0.2460975,0.19238255,0.713008,0.21138,1.134031,0.5307795,1.46068,0.9192785,-0.9935685,-2.320185,1.460165,-0.4956115,-0.4782305,-2.5851,1.50962,2.369145,1.74063,2.494385,0.6260225,-0.124575,0.7036405,1.09819
"B4DTY9;H3BM21;L7UUZ7;P05106;Q2YFE1;I3L4X8;L7UW06",-1.972725,-3.818145,-4.45993,-1.989545,-1.1532585,-0.7225065,-2.78167,-1.370245,-1.559705,-3.945985,-1.0928655,-6.65746,-1.78109,-6.35878,-1.954195,-2.368905,-1.67635,-7.49962,-1.75565,-5.332845,-2.793555,-2.87171,-1.073239,-0.137473,-4.16184,-2.411365,-2.301825,-2.28351,-2.38402,-0.972239
"B4E0X1;P61769;H0YLF3;F5H6I0;A6XND9;A6XMH4;A6XMH5",1.273055,1.25874,0.6498665,0.6826045,1.588335,-0.829812,-3.1502855,0.757402,1.05245,0.449028,3.00848,-0.612595,2.92405,1.652145,2.530015,3.00519,5.39465,1.103464,3.641465,-0.5854765,-1.343075,-1.384785,0.06280255,4.71553,2.71224,2.67832,2.237615,1.960335,3.282135,4.93719
"B4E1B2",3.76506,3.8873425,3.21313,4.3598,4.14612,3.19322,2.26684,3.95617,3.302865,3.701495,3.557135,2.572725,3.250155,2.356705,3.336205,3.50946,3.70306,1.913815,4.4033,0.596464,0.690262,1.17145,2.69611,4.23717,3.41537,4.166275,3.4056,2.52409,3.695715,3.51733
"B4E1C2;P01042",5.74503,5.5977725,5.44099,6.57082,6.472975,5.612095,4.91452,5.41223,5.462035,5.703235,5.79913,5.30149,5.71907,5.210775,5.96859,5.527185,6.55959,4.427685,6.362605,4.21587,4.15276,3.12762,6.1182,6.812805,6.32454,6.562805,5.82732,4.62459,5.95913,6.05528
"B4E1D8",6.131255,6.00632,5.01564,6.236065,6.446165,4.55105,4.334605,5.732095,5.53726,5.532545,5.93519,5.571365,6.791175,6.44793,7.34917,6.347905,6.76337,5.281725,7.25124,4.31724,4.02378,2.124785,5.997685,7.85646,6.616855,7.531925,6.69151,5.385375,6.441815,6.987515
"B4E1Z4;P00751",6.383625,6.100795,5.18867,6.135135,6.101595,4.86479,5.16602,5.884725,5.632905,5.437385,6.13632,5.06528,6.210065,6.026335,6.17961,5.876005,7.15894,4.748085,7.20042,4.078735,4.53742,3.50388,5.592665,7.61528,5.07968,6.52099,6.596605,5.26557,6.637835,6.59294
"B4E367;Q6UX71",-4.30691,-4.97948,-6.06181,-2.529045,-2.312335,-4.92624,-6.54891,-3.48387,-3.85831,-5.56182,-4.98697,-6.10982,-2.995135,-6.018645,-3.49773,-3.7366,-2.78327,-5.748925,-2.618185,-3.89556,-6.993435,-6.069305,-4.687895,-2.793475,-0.336631,-3.89319,-3.19661,-5.506315,-4.17204,-1.835415
"B7Z1F8",6.97423,6.5118975,5.71045,6.980105,7.571755,5.52656,5.0317,6.62249,6.16031,6.59668,6.90533,5.179965,7.17908,7.009235,7.600765,6.132855,8.96259,5.48264,8.651055,6.30465,4.852515,2.279245,6.97087,8.841595,7.52664,7.29097,7.946225,6.002115,7.227165,7.82551
"B7Z550;B7ZA94;B7Z555;P07358;A8K9M5",3.460245,3.33648,2.826655,4.116305,3.61585,2.27657,3.06146,4.073465,3.261535,3.5711,3.683735,2.8436,3.692765,3.286285,4.34299,3.381355,4.928925,2.41667,4.99894,0.8760195,1.2375,0.509348,2.72492,5.575465,2.60359,4.19276,3.114655,2.482075,4.341135,4.38499
"B7Z8A2;Q9UHG3;Q584P1;B7Z3Y2;F8W8W4",-1.56226,-2.695265,-2.52849,0.099905,-0.2923195,-1.8189,-3.1966,-1.54005,-1.496475,-3.448595,-5.872285,-1.78882,-2.303565,-4.528825,-4.90758,-3.28754,-3.56176,-5.611555,-1.31948,-5.155225,-3.13139,-2.68976,-2.29008,-1.55616,-0.8165805,-2.85334,-2.104685,-4.07032,-3.786125,-3.03153
"C9JV77;B7Z8Q2;P02765",8.485915,8.1867925,7.17932,7.725935,8.591845,7.6838,6.60325,8.29012,7.88699,8.01188,7.74788,5.32593,6.494855,5.297005,7.191595,6.485255,6.708805,4.80594,7.75643,5.422765,4.892365,5.821515,5.96053,8.099905,6.43916,7.105085,7.236885,7.14066,7.2234,7.434255
"B7Z9B1;P55290",-4.93765,-4.97516,-5.766055,-4.54427,-4.727265,-6.324565,-5.832705,-4.97395,-4.96592,-5.72951,-5.534345,-6.730755,-4.418125,-4.26476,-4.688995,-5.272205,-5.12353,-5.477075,-2.86728,-5.51187,-4.854035,-5.84063,-2.9451,-3.764915,-2.48905,-4.66636,-4.037685,-5.5659,-4.821145,-4.509
"B7ZKX2;P59923",-1.923255,-2.8133575,-1.2673375,0.135275,-0.243705,-5.074455,-1.966443,-0.8506875,-1.786845,-1.516545,-1.52229,-2.133205,-0.197224,-0.7107955,-0.463224,-0.2455045,0.5446065,-1.144763,-0.12533676,-0.3246365,-1.2318475,-3.560685,-0.63213555,1.16069,-0.0332315,0.1297257,-0.410797,-0.744978,-0.02412365,0.3896435
"C0JYY2;P04114;E1A689",5.75552,5.4235775,4.373465,6.639465,6.172405,5.51596,5.342485,5.313875,5.246965,5.79336,5.048995,5.382385,6.2224,5.53802,5.72559,5.891765,5.68788,3.661695,6.737385,3.197255,5.47277,3.58217,5.767395,6.628435,7.277795,5.738615,5.52362,5.09347,5.661015,5.426355
"C9JF17;P05090",5.991065,5.66772,5.51416,6.4766,5.876325,4.753225,5.56749,5.929645,5.51036,5.19545,5.51144,4.49421,6.20606,5.81242,5.75279,5.957425,6.526535,2.781325,6.95628,2.137025,1.023967,0.973006,6.441165,6.34214,8.39873,5.802605,6.46485,5.58303,5.21435,6.52655
"D0PNI1;P63104;E7EX29;E7ESK7;B0AZS6",1.515205,0.5810525,0.5252935,1.47634,-0.4913475,-4.316105,-0.247604,1.5926,-0.3431005,-0.2925154,-1.386345,-2.49167,0.327339,-1.0482845,-0.7893525,0.6212165,-0.702967,-6.31116,-0.118973,-6.90995,-6.17294,-5.321455,-0.1300795,2.034275,-0.771395,2.0637,-0.02498955,-4.63342,-2.591335,-1.94062
"D1MGQ2;P69905;G3V1N2;A0A0K2BMD8;U6A216;E9M4D4;I1VZV6;Q96T46;P78461;Q4ZGM8;E1B2D1;V9H1D9;Q86YL2;Q6J1Z9;Q9NQT3;Q9BX83",-0.882635,-2.7211175,-6.316345,-3.72818,-1.271485,-5.94818,-0.1769107,-5.290195,-4.371085,-1.81099,-2.928825,-2.465685,4.707145,-4.20108,0.21565555,-0.0819435,1.46878,-7.015515,2.560405,-4.57969,-5.58628,-5.94912,4.909805,0.947045,1.0211745,2.416895,4.961705,-0.6384235,4.28527,3.638265
"D3DNN4;P06276;A0A024CIM4;F8WF14;F8WEX7",0.394399,0.10012325,-0.0800654275,0.686533,0.4301385,-0.802904,-0.0311694,0.54977,0.2649285,0.2294335,0.58373,-0.816406,-0.166741,-0.724351,0.3859925,0.1116576,-0.380404055,-0.9832885,0.9146795,-1.273648,-0.219757,-0.508696,0.43251555,-0.5326375,-1.52125,0.0099387,0.01410435,-0.7221885,0.234116,-1.569975
"D3DPU2;B4DNW7;B4DI38;B2RDY9;B4DNY3;Q01518;B4DNA3;B4DUZ8",-1.11695,-2.4341025,-3.582165,-2.96489,-5.021095,-4.806455,-2.06499,-1.64824,-2.150675,-3.788965,-4.32629,-6.81359,-2.15554,-5.206135,-3.396915,-2.76949,-5.374435,-6.651255,-2.92093,-4.75128,-6.437285,-5.824525,-2.916005,-1.543295,-5.85885,-0.451553,-2.21134,-7.675815,-5.09908,-5.97525
