ligand	receptor	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
VIP	VIPR1	Neuropeptide	ligand-receptor	VIP	1	1	NA	1	1
VIP	VIPR2	Neuropeptide	ligand-receptor	VIP	1	1	NA	1	1
NPY	NPY1R	Neuropeptide	ligand-receptor	NPY	1	1	NA	1	1
NPY	NPY2R	Neuropeptide	ligand-receptor	NPY	1	1	NA	1	1
NPY	NPY5R	Neuropeptide	ligand-receptor	NPY	1	1	NA	1	1
SST	SSTR1	Neuropeptide	ligand-receptor	SST	1	1	NA	1	1
SST	SSTR2	Neuropeptide	ligand-receptor	SST	1	1	NA	1	1
SST	SSTR3	Neuropeptide	ligand-receptor	SST	1	1	NA	1	1
SST	SSTR4	Neuropeptide	ligand-receptor	SST	1	1	NA	1	1
PENK	OPRD1	Neuropeptide	ligand-receptor	PENK	1	1	NA	1	1
PENK	OPRM1	Neuropeptide	ligand-receptor	PENK	1	1	NA	1	1
TAC3	TACR3	Neuropeptide	ligand-receptor	TAC3	1	1	NA	1	1
CCK	CCKBR	Neuropeptide	ligand-receptor	CCK	1	1	NA	1	1
CRH	CRHR1	Neuropeptide	ligand-receptor	CRH	1	1	NA	1	1
CRH	CRHR2	Neuropeptide	ligand-receptor	CRH	1	1	NA	1	1
TAC1	TACR1	Neuropeptide	ligand-receptor	TAC1	1	1	NA	1	1
PDYN	OPRD1	Neuropeptide	ligand-receptor	PDYN	1	1	NA	1	1
PDYN	OPRK1	Neuropeptide	ligand-receptor	PDYN	1	1	NA	1	1
PDYN	OPRM1	Neuropeptide	ligand-receptor	PDYN	1	1	NA	1	1
CORT	SSTR1	Neuropeptide	ligand-receptor	CORT	1	1	NA	1	1
CORT	SSTR2	Neuropeptide	ligand-receptor	CORT	1	1	NA	1	1
CORT	SSTR3	Neuropeptide	ligand-receptor	CORT	1	1	NA	1	1
CORT	SSTR4	Neuropeptide	ligand-receptor	CORT	1	1	NA	1	1
PTHLH	PTH1R	Neuropeptide	ligand-receptor	PTHLH	1	1	NA	1	1
PNOC	OPRL1	Neuropeptide	ligand-receptor	PNOC	1	1	NA	1	1
ADCYAP1	ADCYAP1R1	Neuropeptide	ligand-receptor	ADCYAP1	1	1	NA	1	1
ADCYAP1	VIPR1	Neuropeptide	ligand-receptor	ADCYAP1	1	1	NA	1	1
ADCYAP1	VIPR2	Neuropeptide	ligand-receptor	ADCYAP1	1	1	NA	1	1
TRH	TRHR	Neuropeptide	ligand-receptor	TRH	1	1	NA	1	1
GRP	GRPR	Neuropeptide	ligand-receptor	GRP	1	1	NA	1	1
NMB	NMBR	Neuropeptide	ligand-receptor	NMB	1	1	NA	1	1
NTS	NTSR1	Neuropeptide	ligand-receptor	NTS	1	1	NA	1	1
NTS	NTSR2	Neuropeptide	ligand-receptor	NTS	1	1	NA	1	1
RLN1	RXFP1	Neuropeptide	ligand-receptor	RLN1	1	1	NA	1	1
RLN1	RXFP2	Neuropeptide	ligand-receptor	RLN1	1	1	NA	1	1
RLN1	RXFP3	Neuropeptide	ligand-receptor	RLN1	1	1	NA	1	1
NRXN1	NLGN1	Synaptic-adhesion-molecule	ligand-receptor	NRXN1	1	1	NA	1	1
NRXN2	NLGN2	Synaptic-adhesion-molecule	ligand-receptor	NRXN2	1	1	NA	1	1
NRXN3	NLGN3	Synaptic-adhesion-molecule	ligand-receptor	NRXN3	1	1	NA	1	1
GJA1	GJA1	Gap-junction-protein	ligand-receptor	GJA1	1	1	NA	1	1
GJA3	GJA3	Gap-junction-protein	ligand-receptor	GJA3	1	1	NA	1	1
GJA4	GJA4	Gap-junction-protein	ligand-receptor	GJA4	1	1	NA	1	1
GJA5	GJA5	Gap-junction-protein	ligand-receptor	GJA5	1	1	NA	1	1
GJA8	GJA8	Gap-junction-protein	ligand-receptor	GJA8	1	1	NA	1	1
GJA10	GJA10	Gap-junction-protein	ligand-receptor	GJA10	1	1	NA	1	1
GJB1	GJB1	Gap-junction-protein	ligand-receptor	GJB1	1	1	NA	1	1
GJB2	GJB2	Gap-junction-protein	ligand-receptor	GJB2	1	1	NA	1	1
GJB3	GJB3	Gap-junction-protein	ligand-receptor	GJB3	1	1	NA	1	1
GJB4	GJB4	Gap-junction-protein	ligand-receptor	GJB4	1	1	NA	1	1
GJB5	GJB5	Gap-junction-protein	ligand-receptor	GJB5	1	1	NA	1	1
GJB6	GJB6	Gap-junction-protein	ligand-receptor	GJB6	1	1	NA	1	1
GJC1	GJC1	Gap-junction-protein	ligand-receptor	GJC1	1	1	NA	1	1
GJC2	GJC2	Gap-junction-protein	ligand-receptor	GJC2	1	1	NA	1	1
GJC3	GJC3	Gap-junction-protein	ligand-receptor	GJC3	1	1	NA	1	1
GJD2	GJD2	Gap-junction-protein	ligand-receptor	GJD2	1	1	NA	1	1
GJD3	GJD3	Gap-junction-protein	ligand-receptor	GJD3	1	1	NA	1	1
GJD4	GJD4	Gap-junction-protein	ligand-receptor	GJD4	1	1	NA	1	1
GJE1	GJE1	Gap-junction-protein	ligand-receptor	GJE1	1	1	NA	1	1
NRXN2	NLGN1	Synaptic-adhesion-molecule	ligand-receptor	NRXN2	1	1	NA	1	1
NRXN3	NLGN1	Synaptic-adhesion-molecule	ligand-receptor	NRXN3	1	1	NA	1	1
NRXN1	NLGN2	Synaptic-adhesion-molecule	ligand-receptor	NRXN1	1	1	NA	1	1
NRXN3	NLGN2	Synaptic-adhesion-molecule	ligand-receptor	NRXN3	1	1	NA	1	1
NRXN1	NLGN3	Synaptic-adhesion-molecule	ligand-receptor	NRXN1	1	1	NA	1	1
NRXN2	NLGN3	Synaptic-adhesion-molecule	ligand-receptor	NRXN2	1	1	NA	1	1
NRXN1	NLGN4X	Synaptic-adhesion-molecule	ligand-receptor	NRXN1	1	1	NA	1	1
NRXN2	NLGN4X	Synaptic-adhesion-molecule	ligand-receptor	NRXN2	1	1	NA	1	1
NRXN3	NLGN4X	Synaptic-adhesion-molecule	ligand-receptor	NRXN3	1	1	NA	1	1
NRXN1	NLGN4Y	Synaptic-adhesion-molecule	ligand-receptor	NRXN1	1	1	NA	1	1
NRXN2	NLGN4Y	Synaptic-adhesion-molecule	ligand-receptor	NRXN2	1	1	NA	1	1
NRXN3	NLGN4Y	Synaptic-adhesion-molecule	ligand-receptor	NRXN3	1	1	NA	1	1
